rid,unikey,ckey,subkey,pkey,figs,type,nkey,taxon,abbrev_taxon,fullname,subgen,genus,family,epithets,keystr,ctxt,fkey,sex
0,genus_Acartia,,,,,,,,,,,Acartia,Acartiidae,"(Acanthoarcartia) bifilosa, bilobata, fossae, sinjiensis, steueri, tsuensis, tumida, (Acartia) danae, negligens, (Acartiura) clausi, hongi, hudsonica, longiremis, omorii, (Euacartia) forticrusa, sarojus, southwelli, (Odontarcartia) amboinensis, bispinosa, erythraea, japonica, ohtsukai, pacifica, spinicauda",,"<div id=""genus_Acartia"" class=""kblk""><span class=""doc_title"">Key to the species of <em>Acartia</em> occurring in the China seas:</span></div><br><br><div id=""epithets_Acartia"" class=""kblk""><span class=""doc_epithets""><em>(Acanthoarcartia) bifilosa</em>(<a href=""key_Acartia_35a"">35a</a>/<a href=""key_Acartia_40a"">40a</a>/f), <em>bilobata</em>(<a href=""key_Acartia_38a"">38a</a>/<a href=""key_Acartia_40b"">40b</a>/f), <em>fossae</em>(<a href=""key_Acartia_36a"">36a</a>/<a href=""key_Acartia_43a"">43a</a>/f), <em>sinjiensis</em>(<a href=""key_Acartia_38c"">38c</a>/<a href=""key_Acartia_44b"">44b</a>/f), <em>steueri</em>(<a href=""key_Acartia_37a"">37a</a>/<a href=""key_Acartia_41a"">41a</a>/f), <em>tsuensis</em>(<a href=""key_Acartia_38b"">38b</a>/<a href=""key_Acartia_43b"">43b</a>/f), <em>tumida</em>(<a href=""key_Acartia_37b"">37b</a>/<a href=""key_Acartia_44a"">44a</a>/f), <em>(Acartia) danae</em>(<a href=""key_Acartia_14a"">14a</a>/f), <em>negligens</em>(<a href=""key_Acartia_14b"">14b</a>/f), <em>(Acartiura) clausi</em>(<a href=""key_Acartia_8a"">8a</a>/<a href=""key_Acartia_12a"">12a</a>/f), <em>hongi</em>(<a href=""key_Acartia_9b"">9b</a>/<a href=""key_Acartia_13b"">13b</a>/f), <em>hudsonica</em>(<a href=""key_Acartia_9a"">9a</a>/<a href=""key_Acartia_11a"">11a</a>/f), <em>longiremis</em>(<a href=""key_Acartia_6a"">6a</a>/<a href=""key_Acartia_11b"">11b</a>/f), <em>omorii</em>(<a href=""key_Acartia_8b"">8b</a>/<a href=""key_Acartia_13a"">13a</a>/f), <em>(Euacartia) forticrusa</em>(<a href=""key_Acartia_30b"">30b</a>/<a href=""key_Acartia_31a"">31a</a>/f), <em>sarojus</em>(<a href=""key_Acartia_30a"">30a</a>/<a href=""key_Acartia_32b"">32b</a>/f), <em>southwelli</em>(<a href=""key_Acartia_29a"">29a</a>/<a href=""key_Acartia_32a"">32a</a>/f), <em>(Odontarcartia) amboinensis</em>(<a href=""key_Acartia_20a"">20a</a>/f), <em>bispinosa</em>(<a href=""key_Acartia_16a"">16a</a>/<a href=""key_Acartia_27a"">27a</a>/f), <em>erythraea</em>(<a href=""key_Acartia_21b"">21b</a>/<a href=""key_Acartia_25a"">25a</a>/f), <em>japonica</em>(<a href=""key_Acartia_21a"">21a</a>/<a href=""key_Acartia_27b"">27b</a>/f), <em>ohtsukai</em>(<a href=""key_Acartia_18a"">18a</a>/<a href=""key_Acartia_24b"">24b</a>/f), <em>pacifica</em>(<a href=""key_Acartia_19b"">19b</a>/<a href=""key_Acartia_23b"">23b</a>/f), <em>spinicauda</em>(<a href=""key_Acartia_19a"">19a</a>/<a href=""key_Acartia_24a"">24a</a>/f)</span></div><br>",,
4,Acartia_1a,1a,a,,,0,5,,,,Acartiura,Acartia,Acartiidae,,Rostral filaments absent,"<div class=""kblk""><p class=""leader indent2""><span class=""keycol""><mark id=""key_Acartia_1a"">1a</mark>&nbsp;Rostral filaments absent</span>&nbsp;<span class=""keycol""><mark id=""subgen_Acartiura"">(<em>Acartiura</em>)</mark><a href=""#key_Acartia_5a"">5</a></span></p>",,
5,Acartia_1b,1b,b,,,0,2,,,,"Acanthacartia, Acartia, Euacartia, Odontacartia",Acartia,Acartiidae,,Rostral filaments present,"</div><div class=""kblk""><p class=""leader indent2""><span class=""keycol""><mark id=""key_Acartia_1b"">1b</mark>&nbsp;Rostral filaments present</span>&nbsp;<span class=""keycol"">(<mark id=""subgen_Acanthacartia""><em>Acanthacartia</em></mark>,&nbsp;<mark id=""subgen_Acartia""><em>Acartia</em></mark>,&nbsp;<mark id=""subgen_Euacartia""><em>Euacartia</em></mark>,&nbsp;<mark id=""subgen_Odontacartia""><em>Odontacartia</em></mark>)<a href=""#key_Acartia_2a"">2</a></span></p>",,
7,Acartia_2a,2a,a,1b,,0,3,,,,"Acartia, Odontacartia",Acartia,Acartiidae,,Posterior margin of prosome extended to form a spinous process,"</div><div class=""kblk""><p class=""leader indent3""><span class=""keycol""><mark id=""key_Acartia_2a"">2a</mark>&nbsp;(<a href=""#key_Acartia_1b"">1b</a>)&nbsp;Posterior margin of prosome extended to form a spinous process</span>&nbsp;<span class=""keycol"">(<mark id=""subgen_Acartia""><em>Acartia</em></mark>,&nbsp;<mark id=""subgen_Odontacartia""><em>Odontacartia</em></mark>)<a href=""#key_Acartia_3a"">3</a></span></p>",,
8,Acartia_2b,2b,b,,,0,4,,,,"Acanthacartia, Euacartia",Acartia,Acartiidae,,Posterior margin of prosome rounded,"</div><div class=""kblk""><p class=""leader indent2""><span class=""keycol""><mark id=""key_Acartia_2b"">2b</mark>&nbsp;Posterior margin of prosome rounded</span>&nbsp;<span class=""keycol"">(<mark id=""subgen_Acanthacartia""><em>Acanthacartia</em></mark>,&nbsp;<mark id=""subgen_Euacartia""><em>Euacartia</em></mark>)<a href=""#key_Acartia_4a"">4</a></span></p>",,
10,Acartia_3a,3a,a,2a,,0,14,,,,Acartia,Acartia,Acartiidae,,Posterior margins of urosomites armed with small spinules,"</div><div class=""kblk""><p class=""leader indent3""><span class=""keycol""><mark id=""key_Acartia_3a"">3a</mark>&nbsp;(<a href=""#key_Acartia_2a"">2a</a>)&nbsp;Posterior margins of urosomites armed with small spinules</span>&nbsp;<span class=""keycol""><mark id=""subgen_Acartia"">(<em>Acartia</em>)</mark><a href=""#key_Acartia_14a"">14</a></span></p>",,
11,Acartia_3b,3b,b,,,0,15,,,,Odontacartia,Acartia,Acartiidae,,Posterior margins of urosomites armed with strong spines,"</div><div class=""kblk""><p class=""leader indent2""><span class=""keycol""><mark id=""key_Acartia_3b"">3b</mark>&nbsp;Posterior margins of urosomites armed with strong spines</span>&nbsp;<span class=""keycol""><mark id=""subgen_Odontacartia"">(<em>Odontacartia</em>)</mark><a href=""#key_Acartia_15a"">15</a></span></p>",,
13,Acartia_4a,4a,a,2b,,0,28,,,,Euacartia,Acartia,Acartiidae,,"Posterolateral corners of prosome rounded, nude. Posterior margin of urosomites smooth","</div><div class=""kblk""><p class=""leader indent3""><span class=""keycol""><mark id=""key_Acartia_4a"">4a</mark>&nbsp;(<a href=""#key_Acartia_2b"">2b</a>)&nbsp;Posterolateral corners of prosome rounded, nude. Posterior margin of urosomites smooth</span>&nbsp;<span class=""keycol""><mark id=""subgen_Euacartia"">(<em>Euacartia</em>)</mark><a href=""#key_Acartia_28a"">28</a></span></p>",,
15,Acartia_4b,4b,b,,,0,33,,,,Acanthacartia,Acartia,Acartiidae,,Posterolateral corners of prosome rounded or forming a large thorn. Posterior margin of urosomites armed with small spinules,"</div><div class=""kblk""><p class=""leader indent2""><span class=""keycol""><mark id=""key_Acartia_4b"">4b</mark>&nbsp;Posterolateral corners of prosome rounded or forming a large thorn. Posterior margin of urosomites armed with small spinules</span>&nbsp;<span class=""keycol""><mark id=""subgen_Acanthacartia"">(<em>Acanthacartia</em>)</mark><a href=""#key_Acartia_33a"">33</a></span></p>",,
17,Acartia_5a,5a,a,1a,,0,6,,,,,Acartia,Acartiidae,,Female. Anal somite not wider than urosomite 2 in dorsal view. Genital double-somite in lateral view with a smoothly curving ventral surface,"</div><div class=""kblk""><p class=""leader indent3""><span class=""keycol""><mark id=""key_Acartia_5a"">5a</mark>&nbsp;(<a href=""#key_Acartia_1a"">1a</a>)&nbsp;Female. Anal somite not wider than urosomite 2 in dorsal view. Genital double-somite in lateral view with a smoothly curving ventral surface</span>&nbsp;<span class=""keycol""><a href=""#key_Acartia_6a"">6</a></span></p>",,
